Date,Point,Name,LULC_29_9_,Desc,Soil_Data_,Soil Type,xcoord,ycoord,Depth,MMRI,Bulk_density,Vol_Lab,Porosity,SMC_probe
2/12/2025,H_20,H,Crop Land,"Cover cropping, Mulching",19,Nitisols,36.9391593,-0.3796051,20,0.14,1.132126321,0.317128225,0.57278252,0.2645
20/11/2025,K2_20,K2,Crop Land,"Mukima, Vegetables, mixed cropping",3,Andosols,36.8713816,-0.3526406,20,0.21,0.72994834,0.199906206,0.724547796,0.213458633
23/10/2025,L_20,L,Forest Land,"Kabiruini, next to the forest",19,Vertisols,36.93207583,-0.368816546,20,0.15,1.00883286,0.229021686,0.619308355,0.2526253
24/11/2025,L2_20,L2,Range Land,"Woodland, acacia",19,Nitisols,36.8948588,-0.3322449,20,0.16,1.245712673,0.35232369,0.529919746,0.3831253
1/12/2025,N2_20,N2,Crop Land,"Maize, Avocadoes, beans",20,Phaeozems,36.8823369,-0.3430931,20,0.18,1.0187261,0.337492082,0.615575057,0.204291966
2/12/2025,U_20,U,Forest Land,"Eucalyptus forest, canopy",19,Vertisols,36.9242604,-0.3350495,20,0.16,1.208834406,0.345801957,0.543836073,0.343791966
24/11/2025,W_20,W,Range Land,"grasses, shrubs",10,Vertisols,36.9445676,-0.3257065,20,0.31,1.300899269,0.281100731,0.509094616,0.174458633
22/10/2025,A_30,A,Range Land,"Short Grass, Tahmo Station",0,Acrisols,36.965733,-0.40388888,30,0.18,1.292472101,0.264327899,0.512274679,0.297666667
25/11/2025,A2_30,A2,Crop Land,"Miraa, Khat",10,Rhodic Nitisols,36.9453203,-0.3427627,30,0.14,1.681519777,0.22604386,0.365464235,0.22739845
22/10/2025,B_30,B,Crop Land,Fallow to Range Land,19,Nitisols,36.962685,-0.40752015,30,0.31,1.136058768,0.252995777,0.571298578,0.248
9/12/2025,C_30,C,Crop Land,Irrigation vegetables,19,Nitisols,36.96323,-0.40536794,30,0.19,1.316299579,0.272700421,0.503283178,0.357666667
2/12/2025,C2_30,C2,Crop Land,Use of furrows for planting,20,Phaeozems,36.8760255,-0.3400686,30,0.23,1.2032964,0.378067236,0.545925887,0.283231784
14/12/2025,D_30,D,Forest Land,Under Canopy,19,Nitisols,36.97210316,-0.406234921,30,0.22,1.028591149,0.207736123,0.611852396,0.214166667
20/11/2025,D2_30,D2,Barren Land,Amboni,20,Phaeozems,36.8738731,-0.3389613,30,0.22,1.49810074,0.284226533,0.434678966,0.225833333
14/12/2025,E_30,E,Built up Land,Road-Murram,0,Acrisols,36.9626317,-0.3973709,30,0.3,1.666919647,0.387771262,0.370973718,0.192231784
1/12/2025,E2_30,E2,Wet Land,"crop Land, near  Mweiga river/stream",19,Nitisols,36.8648361,-0.3411669,30,0.27,0.927273713,0.624689924,0.650085391,0.585231784
1/12/2025,G2_30,G2,Crop Land,"mixed cropping, shade managements (trees)",3,Andosols,36.8627272,-0.3463086,30,0.27,0.829546841,0.231016795,0.686963456,0.154231784
2/12/2025,H_30,H,Crop Land,"Cover cropping, Mulching",19,Nitisols,36.9391593,-0.3796051,30,0.12,1.169378156,0.349367298,0.558725224,0.388
20/11/2025,K2_30,K2,Crop Land,"Mukima, Vegetables, mixed cropping",3,Andosols,36.8713816,-0.3526406,30,0.19,0.993145349,0.323491014,0.62522817,0.295065117
23/10/2025,L_30,L,Forest Land,"Kabiruini, next to the forest",19,Vertisols,36.93207583,-0.368816546,30,0.11,1.283830812,0.340678279,0.515535543,0.34489845
24/11/2025,L2_30,L2,Range Land,"Woodland, acacia",19,Nitisols,36.8948588,-0.3322449,30,0.18,1.285630746,0.420205618,0.514856322,0.376166667
1/12/2025,N2_30,N2,Crop Land,"Maize, Avocadoes, beans",20,Phaeozems,36.8823369,-0.3430931,30,0.18,1.001392336,0.311807664,0.6221161,0.272565117
2/12/2025,U_30,U,Forest Land,"Eucalyptus forest, canopy",19,Vertisols,36.9242604,-0.3350495,30,0.15,1.330656773,0.406615954,0.497865369,0.41089845
24/11/2025,W_30,W,Range Land,"grasses, shrubs",10,Vertisols,36.9445676,-0.3257065,30,0.16,1.438243884,0.349301571,0.457266459,0.264565117
22/10/2025,A_40,A,Range Land,"Short Grass, Tahmo Station",0,Acrisols,36.965733,-0.40388888,40,0.18,1.149398149,0.234310942,0.566264849,0.378333333
25/11/2025,A2_40,A2,Crop Land,"Miraa, Khat",10,Rhodic Nitisols,36.9453203,-0.3427627,40,0.18,1.837381869,0.189054495,0.306648351,0.168833333
22/10/2025,B_40,B,Crop Land,Fallow to Range Land,19,Nitisols,36.962685,-0.40752015,40,0.32,1.004723504,0.217349224,0.620859055,0.228333333
9/12/2025,C_40,C,Crop Land,Irrigation vegetables,19,Nitisols,36.96323,-0.40536794,40,0.19,1.487962738,0.232382716,0.438504627,0.447833333
2/12/2025,C2_40,C2,Crop Land,Use of furrows for planting,20,Phaeozems,36.8760255,-0.3400686,40,0.27,1.205610676,0.467389324,0.545052575,0.335280264
14/12/2025,D_40,D,Forest Land,Under Canopy,19,Nitisols,36.97210316,-0.406234921,40,0.26,0.674009677,0.125772141,0.745656726,0.149333333
20/11/2025,D2_40,D2,Barren Land,Amboni,20,Phaeozems,36.8738731,-0.3389613,40,0.26,1.333869563,0.236548619,0.496652995,0.215833333
14/12/2025,E_40,E,Built up Land,Road-Murram,0,Acrisols,36.9626317,-0.3973709,40,0.28,1.486872871,0.450727129,0.438915898,0.310613597
1/12/2025,E2_40,E2,Wet Land,"crop Land, near  Mweiga river/stream",19,Nitisols,36.8648361,-0.3411669,40,0.25,0.930725906,0.730310457,0.648782677,0.54094693
1/12/2025,G2_40,G2,Crop Land,"mixed cropping, shade managements (trees)",3,Andosols,36.8627272,-0.3463086,40,0.4,1.061418648,0.29416317,0.599464661,0.260666667
2/12/2025,H_40,H,Crop Land,"Cover cropping, Mulching",19,Nitisols,36.9391593,-0.3796051,40,0.17,1.295970659,0.370411159,0.510954468,0.384
20/11/2025,K2_40,K2,Crop Land,"Mukima, Vegetables, mixed cropping",3,Andosols,36.8713816,-0.3526406,40,0.18,0.779969473,0.197103254,0.705671897,0.386
23/10/2025,L_40,L,Forest Land,"Kabiruini, next to the forest",19,Vertisols,36.93207583,-0.368816546,40,0.08,1.286069052,0.345058221,0.514690924,0.3735
24/11/2025,L2_40,L2,Range Land,"Woodland, acacia",19,Nitisols,36.8948588,-0.3322449,40,0.16,1.316348863,0.40157841,0.50326458,0.438833333
1/12/2025,N2_40,N2,Crop Land,"Maize, Avocadoes, beans",20,Phaeozems,36.8823369,-0.3430931,40,0.18,1.197936535,0.405699829,0.547948477,0.4185
2/12/2025,U_40,U,Forest Land,"Eucalyptus forest, canopy",19,Vertisols,36.9242604,-0.3350495,40,0.17,1.353305404,0.417949142,0.489318716,0.464166667
24/11/2025,W_40,W,Range Land,"grasses, shrubs",10,Vertisols,36.9445676,-0.3257065,40,0.16,1.486992561,0.373734712,0.438870732,0.349
22/10/2025,F_10,F,Barren Land,Bare to short grass (RL),10,Rhodic Nitisols,36.9583425,-0.3935756,10,0.32,1.197991961,0.184189857,0.547927562,0.212
22/10/2025,F_20,F,Barren Land,Bare to short grass (RL),10,Rhodic Nitisols,36.9583425,-0.3935756,20,0.36,0.945328398,0.201398875,0.643272303,0.216666667
22/10/2025,F_30,F,Barren Land,Bare to short grass (RL),10,Rhodic Nitisols,36.9583425,-0.3935756,30,0.41,0.861491936,0.208362609,0.674908703,0.172
22/10/2025,F_40,F,Barren Land,Bare to short grass (RL),10,Rhodic Nitisols,36.9583425,-0.3935756,40,0.35,1.036645765,0.25809969,0.608812919,0.235
